timestamp, name, pstate, temperature.gpu, power.draw [W], utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.free [MiB]
2026/05/11 22:51:09.000, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 55, 33.16 W, 21 %, 2 %, 1560 MHz, 7001 MHz, 7435 MiB, 406 MiB
2026/05/11 22:51:10.005, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 55, 33.37 W, 20 %, 2 %, 1560 MHz, 7001 MHz, 7435 MiB, 406 MiB
2026/05/11 22:51:11.005, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 55, 33.42 W, 20 %, 2 %, 1560 MHz, 7001 MHz, 7435 MiB, 406 MiB
2026/05/11 22:51:12.006, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 55, 33.48 W, 19 %, 2 %, 1560 MHz, 7001 MHz, 7435 MiB, 406 MiB
2026/05/11 22:51:13.006, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 55, 33.09 W, 18 %, 2 %, 1560 MHz, 7001 MHz, 7435 MiB, 406 MiB
2026/05/11 22:51:14.006, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 55, 32.80 W, 14 %, 2 %, 1560 MHz, 7001 MHz, 7435 MiB, 406 MiB
2026/05/11 22:51:15.007, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 59, 86.78 W, 98 %, 88 %, 1770 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:16.007, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 60, 114.29 W, 98 %, 87 %, 1770 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:17.007, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 60, 114.82 W, 97 %, 85 %, 1785 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:18.007, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 61, 114.57 W, 98 %, 87 %, 1755 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:19.008, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 61, 114.62 W, 98 %, 84 %, 1770 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:20.008, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 62, 114.22 W, 97 %, 83 %, 1770 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:21.008, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 62, 114.41 W, 98 %, 86 %, 1755 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:22.008, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 62, 114.68 W, 97 %, 83 %, 1770 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:23.009, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 63, 114.62 W, 98 %, 87 %, 1725 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:24.009, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 63, 114.53 W, 99 %, 86 %, 1740 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:25.009, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 63, 114.64 W, 99 %, 88 %, 1725 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:26.009, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 64, 114.66 W, 97 %, 86 %, 1740 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:27.010, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 64, 114.53 W, 99 %, 88 %, 1740 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:28.010, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 64, 114.71 W, 98 %, 88 %, 1725 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:29.010, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 64, 114.78 W, 97 %, 85 %, 1740 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:30.010, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 65, 114.63 W, 97 %, 83 %, 1755 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:31.010, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 65, 114.57 W, 94 %, 58 %, 1710 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:32.011, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 65, 114.70 W, 98 %, 87 %, 1725 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:51:33.011, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 65, 114.54 W, 97 %, 85 %, 1740 MHz, 7001 MHz, 7437 MiB, 404 MiB
