timestamp, name, pstate, temperature.gpu, power.draw [W], utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.free [MiB]
2026/05/11 22:47:50.407, NVIDIA GeForce RTX 3070 Laptop GPU, P5, 44, 18.44 W, 40 %, 12 %, 480 MHz, 810 MHz, 7437 MiB, 404 MiB
2026/05/11 22:47:51.416, NVIDIA GeForce RTX 3070 Laptop GPU, P5, 44, 18.57 W, 40 %, 12 %, 765 MHz, 810 MHz, 7437 MiB, 404 MiB
2026/05/11 22:47:52.416, NVIDIA GeForce RTX 3070 Laptop GPU, P5, 44, 19.85 W, 40 %, 12 %, 840 MHz, 810 MHz, 7437 MiB, 404 MiB
2026/05/11 22:47:53.416, NVIDIA GeForce RTX 3070 Laptop GPU, P5, 44, 19.76 W, 40 %, 12 %, 885 MHz, 810 MHz, 7437 MiB, 404 MiB
2026/05/11 22:47:54.417, NVIDIA GeForce RTX 3070 Laptop GPU, P3, 44, 21.26 W, 20 %, 2 %, 900 MHz, 6001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:47:55.417, NVIDIA GeForce RTX 3070 Laptop GPU, P5, 44, 22.01 W, 19 %, 2 %, 555 MHz, 810 MHz, 7437 MiB, 404 MiB
2026/05/11 22:47:56.417, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 50, 51.89 W, 95 %, 86 %, 1785 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:47:57.417, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 51, 114.25 W, 90 %, 75 %, 1845 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:47:58.418, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 52, 114.50 W, 95 %, 85 %, 1815 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:47:59.418, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 53, 114.72 W, 95 %, 85 %, 1815 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:00.418, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 54, 114.56 W, 98 %, 83 %, 1830 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:01.418, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 54, 114.53 W, 96 %, 84 %, 1815 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:02.419, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 55, 114.61 W, 98 %, 85 %, 1785 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:03.419, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 55, 114.61 W, 97 %, 85 %, 1785 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:04.419, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 56, 114.70 W, 97 %, 86 %, 1815 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:05.420, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 56, 114.72 W, 96 %, 84 %, 1785 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:06.420, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 57, 114.81 W, 97 %, 86 %, 1755 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:07.421, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 57, 114.65 W, 98 %, 82 %, 1800 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:08.421, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 58, 114.53 W, 97 %, 85 %, 1770 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:09.421, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 58, 115.00 W, 97 %, 87 %, 1785 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:10.422, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 58, 114.55 W, 94 %, 85 %, 1800 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:11.422, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 59, 114.83 W, 97 %, 87 %, 1755 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:12.422, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 59, 114.46 W, 91 %, 78 %, 1770 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:13.423, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 59, 114.82 W, 99 %, 88 %, 1755 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:14.423, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 59, 114.88 W, 99 %, 87 %, 1770 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:15.423, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 60, 114.84 W, 99 %, 88 %, 1740 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:16.423, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 60, 114.61 W, 95 %, 83 %, 1755 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:17.424, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 60, 114.64 W, 96 %, 84 %, 1770 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:18.424, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 61, 114.67 W, 97 %, 85 %, 1755 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:19.424, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 61, 114.67 W, 95 %, 83 %, 1785 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:20.425, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 61, 114.63 W, 93 %, 83 %, 1755 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:21.425, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 61, 114.67 W, 99 %, 85 %, 1770 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:22.425, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 62, 114.75 W, 98 %, 87 %, 1740 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:23.426, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 62, 114.76 W, 97 %, 86 %, 1800 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:24.426, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 62, 114.36 W, 95 %, 77 %, 1785 MHz, 7001 MHz, 7437 MiB, 404 MiB
2026/05/11 22:48:25.426, NVIDIA GeForce RTX 3070 Laptop GPU, P0, 62, 114.60 W, 99 %, 88 %, 1740 MHz, 7001 MHz, 7437 MiB, 404 MiB
